age,year,weight,fish_sel,prob_mature,nat_m,species,stock
5,1987,2.15,0.26,0.528917693,0.3244,Gadus macrocephalus,Bering Sea pacific cod
6,1987,3.33,0.584,0.746645346,0.3244,Gadus macrocephalus,Bering Sea pacific cod
7,1987,4.44,0.805,0.885522544,0.3244,Gadus macrocephalus,Bering Sea pacific cod
8,1987,5.28,0.88,0.953059657,0.3244,Gadus macrocephalus,Bering Sea pacific cod
9,1987,6.37,0.913,0.981581329,0.3244,Gadus macrocephalus,Bering Sea pacific cod
10,1987,7.64,0.918,0.992901867,0.3244,Gadus macrocephalus,Bering Sea pacific cod
11,1987,8.87,0.916,0.997283796,0.3244,Gadus macrocephalus,Bering Sea pacific cod
12,1987,9.92,0.914,0.998963429,0.3244,Gadus macrocephalus,Bering Sea pacific cod
13,1987,11.04,0.913,0.99960483,0.3244,Gadus macrocephalus,Bering Sea pacific cod
14,1987,12.04,0.912,0.99984941,0.3244,Gadus macrocephalus,Bering Sea pacific cod
15,1987,12.96,0.912,0.999942622,0.3244,Gadus macrocephalus,Bering Sea pacific cod
16,1987,13.82,0.911,0.999978139,0.3244,Gadus macrocephalus,Bering Sea pacific cod
17,1987,14.6,0.911,0.999991671,0.3244,Gadus macrocephalus,Bering Sea pacific cod
18,1987,15.3,0.911,0.999996827,0.3244,Gadus macrocephalus,Bering Sea pacific cod
19,1987,15.94,0.911,0.999998791,0.3244,Gadus macrocephalus,Bering Sea pacific cod
20,1987,16.5,0.911,0.999999539,0.3244,Gadus macrocephalus,Bering Sea pacific cod
21,1987,17.71,0.911,0.999999825,0.3244,Gadus macrocephalus,Bering Sea pacific cod
1,1988,0.01,0,0.023107937,0.3244,Gadus macrocephalus,Bering Sea pacific cod
2,1988,0.05,0.001,0.058458573,0.3244,Gadus macrocephalus,Bering Sea pacific cod
3,1988,0.43,0.028,0.140131283,0.3244,Gadus macrocephalus,Bering Sea pacific cod
4,1988,1.2,0.161,0.299600703,0.3244,Gadus macrocephalus,Bering Sea pacific cod
5,1988,2.23,0.417,0.528917693,0.3244,Gadus macrocephalus,Bering Sea pacific cod
6,1988,3.17,0.635,0.746645346,0.3244,Gadus macrocephalus,Bering Sea pacific cod
7,1988,4.51,0.842,0.885522544,0.3244,Gadus macrocephalus,Bering Sea pacific cod
8,1988,5.79,0.911,0.953059657,0.3244,Gadus macrocephalus,Bering Sea pacific cod
9,1988,6.79,0.921,0.981581329,0.3244,Gadus macrocephalus,Bering Sea pacific cod
10,1988,8.08,0.919,0.992901867,0.3244,Gadus macrocephalus,Bering Sea pacific cod
11,1988,9.51,0.914,0.997283796,0.3244,Gadus macrocephalus,Bering Sea pacific cod
12,1988,10.84,0.911,0.998963429,0.3244,Gadus macrocephalus,Bering Sea pacific cod
13,1988,11.97,0.91,0.99960483,0.3244,Gadus macrocephalus,Bering Sea pacific cod
14,1988,13.15,0.909,0.99984941,0.3244,Gadus macrocephalus,Bering Sea pacific cod
15,1988,14.21,0.908,0.999942622,0.3244,Gadus macrocephalus,Bering Sea pacific cod
16,1988,15.18,0.908,0.999978139,0.3244,Gadus macrocephalus,Bering Sea pacific cod
17,1988,16.06,0.908,0.999991671,0.3244,Gadus macrocephalus,Bering Sea pacific cod
18,1988,16.87,0.908,0.999996827,0.3244,Gadus macrocephalus,Bering Sea pacific cod
19,1988,17.59,0.908,0.999998791,0.3244,Gadus macrocephalus,Bering Sea pacific cod
20,1988,18.24,0.908,0.999999539,0.3244,Gadus macrocephalus,Bering Sea pacific cod
21,1988,19.65,0.908,0.999999825,0.3244,Gadus macrocephalus,Bering Sea pacific cod
1,1989,0,0,0.023107937,0.3244,Gadus macrocephalus,Bering Sea pacific cod
2,1989,0.04,0,0.058458573,0.3244,Gadus macrocephalus,Bering Sea pacific cod
3,1989,0.48,0.014,0.140131283,0.3244,Gadus macrocephalus,Bering Sea pacific cod
4,1989,1.26,0.109,0.299600703,0.3244,Gadus macrocephalus,Bering Sea pacific cod
5,1989,2.28,0.338,0.528917693,0.3244,Gadus macrocephalus,Bering Sea pacific cod
6,1989,3.44,0.623,0.746645346,0.3244,Gadus macrocephalus,Bering Sea pacific cod
7,1989,4.4,0.792,0.885522544,0.3244,Gadus macrocephalus,Bering Sea pacific cod
8,1989,5.76,0.902,0.953059657,0.3244,Gadus macrocephalus,Bering Sea pacific cod
9,1989,7.11,0.925,0.981581329,0.3244,Gadus macrocephalus,Bering Sea pacific cod
10,1989,8.12,0.926,0.992901867,0.3244,Gadus macrocephalus,Bering Sea pacific cod
11,1989,9.38,0.924,0.997283796,0.3244,Gadus macrocephalus,Bering Sea pacific cod
12,1989,10.74,0.922,0.998963429,0.3244,Gadus macrocephalus,Bering Sea pacific cod
13,1989,11.98,0.921,0.99960483,0.3244,Gadus macrocephalus,Bering Sea pacific cod
14,1989,13.02,0.921,0.99984941,0.3244,Gadus macrocephalus,Bering Sea pacific cod
15,1989,14.1,0.92,0.999942622,0.3244,Gadus macrocephalus,Bering Sea pacific cod
16,1989,15.04,0.92,0.999978139,0.3244,Gadus macrocephalus,Bering Sea pacific cod
17,1989,15.91,0.92,0.999991671,0.3244,Gadus macrocephalus,Bering Sea pacific cod
18,1989,16.69,0.92,0.999996827,0.3244,Gadus macrocephalus,Bering Sea pacific cod
19,1989,17.4,0.92,0.999998791,0.3244,Gadus macrocephalus,Bering Sea pacific cod
20,1989,18.03,0.92,0.999999539,0.3244,Gadus macrocephalus,Bering Sea pacific cod
21,1989,19.42,0.92,0.999999825,0.3244,Gadus macrocephalus,Bering Sea pacific cod
1,1990,0,0,0.023107937,0.3244,Gadus macrocephalus,Bering Sea pacific cod
2,1990,0.05,0,0.058458573,0.3244,Gadus macrocephalus,Bering Sea pacific cod
3,1990,0.57,0.01,0.140131283,0.3244,Gadus macrocephalus,Bering Sea pacific cod
4,1990,1.32,0.082,0.299600703,0.3244,Gadus macrocephalus,Bering Sea pacific cod
5,1990,2.28,0.287,0.528917693,0.3244,Gadus macrocephalus,Bering Sea pacific cod
6,1990,3.35,0.571,0.746645346,0.3244,Gadus macrocephalus,Bering Sea pacific cod
7,1990,4.46,0.798,0.885522544,0.3244,Gadus macrocephalus,Bering Sea pacific cod
8,1990,5.38,0.89,0.953059657,0.3244,Gadus macrocephalus,Bering Sea pacific cod
9,1990,6.72,0.936,0.981581329,0.3244,Gadus macrocephalus,Bering Sea pacific cod
10,1990,7.99,0.944,0.992901867,0.3244,Gadus macrocephalus,Bering Sea pacific cod
11,1990,8.9,0.945,0.997283796,0.3244,Gadus macrocephalus,Bering Sea pacific cod
12,1990,10.01,0.945,0.998963429,0.3244,Gadus macrocephalus,Bering Sea pacific cod
13,1990,11.18,0.944,0.99960483,0.3244,Gadus macrocephalus,Bering Sea pacific cod
14,1990,12.24,0.944,0.99984941,0.3244,Gadus macrocephalus,Bering Sea pacific cod
15,1990,13.11,0.944,0.999942622,0.3244,Gadus macrocephalus,Bering Sea pacific cod
16,1990,14,0.944,0.999978139,0.3244,Gadus macrocephalus,Bering Sea pacific cod
17,1990,14.78,0.944,0.999991671,0.3244,Gadus macrocephalus,Bering Sea pacific cod
18,1990,15.48,0.944,0.999996827,0.3244,Gadus macrocephalus,Bering Sea pacific cod
19,1990,16.12,0.944,0.999998791,0.3244,Gadus macrocephalus,Bering Sea pacific cod
20,1990,16.68,0.944,0.999999539,0.3244,Gadus macrocephalus,Bering Sea pacific cod
21,1990,17.93,0.944,0.999999825,0.3244,Gadus macrocephalus,Bering Sea pacific cod
1,1991,0.01,0,0.023107937,0.3244,Gadus macrocephalus,Bering Sea pacific cod
2,1991,0.06,0,0.058458573,0.3244,Gadus macrocephalus,Bering Sea pacific cod
3,1991,0.58,0.011,0.140131283,0.3244,Gadus macrocephalus,Bering Sea pacific cod
4,1991,1.31,0.088,0.299600703,0.3244,Gadus macrocephalus,Bering Sea pacific cod
5,1991,2.16,0.28,0.528917693,0.3244,Gadus macrocephalus,Bering Sea pacific cod
6,1991,3.12,0.556,0.746645346,0.3244,Gadus macrocephalus,Bering Sea pacific cod
7,1991,4.12,0.782,0.885522544,0.3244,Gadus macrocephalus,Bering Sea pacific cod
8,1991,5.17,0.893,0.953059657,0.3244,Gadus macrocephalus,Bering Sea pacific cod
9,1991,6.06,0.922,0.981581329,0.3244,Gadus macrocephalus,Bering Sea pacific cod
10,1991,7.33,0.931,0.992901867,0.3244,Gadus macrocephalus,Bering Sea pacific cod
11,1991,8.49,0.93,0.997283796,0.3244,Gadus macrocephalus,Bering Sea pacific cod
12,1991,9.3,0.93,0.998963429,0.3244,Gadus macrocephalus,Bering Sea pacific cod
13,1991,10.28,0.929,0.99960483,0.3244,Gadus macrocephalus,Bering Sea pacific cod
14,1991,11.28,0.928,0.99984941,0.3244,Gadus macrocephalus,Bering Sea pacific cod
15,1991,12.19,0.928,0.999942622,0.3244,Gadus macrocephalus,Bering Sea pacific cod
16,1991,12.92,0.928,0.999978139,0.3244,Gadus macrocephalus,Bering Sea pacific cod
17,1991,13.67,0.928,0.999991671,0.3244,Gadus macrocephalus,Bering Sea pacific cod
18,1991,14.31,0.928,0.999996827,0.3244,Gadus macrocephalus,Bering Sea pacific cod
19,1991,14.89,0.928,0.999998791,0.3244,Gadus macrocephalus,Bering Sea pacific cod
20,1991,15.41,0.928,0.999999539,0.3244,Gadus macrocephalus,Bering Sea pacific cod
21,1991,16.55,0.928,0.999999825,0.3244,Gadus macrocephalus,Bering Sea pacific cod
1,1992,0,0,0.023107937,0.3244,Gadus macrocephalus,Bering Sea pacific cod
2,1992,0.07,0,0.058458573,0.3244,Gadus macrocephalus,Bering Sea pacific cod
3,1992,0.52,0.008,0.140131283,0.3244,Gadus macrocephalus,Bering Sea pacific cod
4,1992,1.31,0.089,0.299600703,0.3244,Gadus macrocephalus,Bering Sea pacific cod
5,1992,2.15,0.287,0.528917693,0.3244,Gadus macrocephalus,Bering Sea pacific cod
6,1992,3.02,0.546,0.746645346,0.3244,Gadus macrocephalus,Bering Sea pacific cod
7,1992,3.96,0.767,0.885522544,0.3244,Gadus macrocephalus,Bering Sea pacific cod
8,1992,4.95,0.876,0.953059657,0.3244,Gadus macrocephalus,Bering Sea pacific cod
9,1992,6.04,0.904,0.981581329,0.3244,Gadus macrocephalus,Bering Sea pacific cod
10,1992,6.95,0.904,0.992901867,0.3244,Gadus macrocephalus,Bering Sea pacific cod
11,1992,8.21,0.9,0.997283796,0.3244,Gadus macrocephalus,Bering Sea pacific cod
12,1992,9.32,0.898,0.998963429,0.3244,Gadus macrocephalus,Bering Sea pacific cod
13,1992,10.09,0.896,0.99960483,0.3244,Gadus macrocephalus,Bering Sea pacific cod
14,1992,11,0.896,0.99984941,0.3244,Gadus macrocephalus,Bering Sea pacific cod
15,1992,11.93,0.895,0.999942622,0.3244,Gadus macrocephalus,Bering Sea pacific cod
16,1992,12.76,0.895,0.999978139,0.3244,Gadus macrocephalus,Bering Sea pacific cod
17,1992,13.43,0.895,0.999991671,0.3244,Gadus macrocephalus,Bering Sea pacific cod
18,1992,14.1,0.895,0.999996827,0.3244,Gadus macrocephalus,Bering Sea pacific cod
19,1992,14.68,0.895,0.999998791,0.3244,Gadus macrocephalus,Bering Sea pacific cod
20,1992,15.2,0.894,0.999999539,0.3244,Gadus macrocephalus,Bering Sea pacific cod
21,1992,16.31,0.894,0.999999825,0.3244,Gadus macrocephalus,Bering Sea pacific cod
1,1993,0.01,0,0.023107937,0.3244,Gadus macrocephalus,Bering Sea pacific cod
2,1993,0.07,0.001,0.058458573,0.3244,Gadus macrocephalus,Bering Sea pacific cod
3,1993,0.58,0.026,0.140131283,0.3244,Gadus macrocephalus,Bering Sea pacific cod
4,1993,1.35,0.144,0.299600703,0.3244,Gadus macrocephalus,Bering Sea pacific cod
5,1993,2.38,0.397,0.528917693,0.3244,Gadus macrocephalus,Bering Sea pacific cod
6,1993,3.37,0.641,0.746645346,0.3244,Gadus macrocephalus,Bering Sea pacific cod
7,1993,4.35,0.813,0.885522544,0.3244,Gadus macrocephalus,Bering Sea pacific cod
8,1993,5.43,0.896,0.953059657,0.3244,Gadus macrocephalus,Bering Sea pacific cod
9,1993,6.6,0.915,0.981581329,0.3244,Gadus macrocephalus,Bering Sea pacific cod
10,1993,7.84,0.912,0.992901867,0.3244,Gadus macrocephalus,Bering Sea pacific cod
11,1993,8.83,0.908,0.997283796,0.3244,Gadus macrocephalus,Bering Sea pacific cod
12,1993,10.15,0.905,0.998963429,0.3244,Gadus macrocephalus,Bering Sea pacific cod
13,1993,11.29,0.903,0.99960483,0.3244,Gadus macrocephalus,Bering Sea pacific cod
14,1993,12.06,0.902,0.99984941,0.3244,Gadus macrocephalus,Bering Sea pacific cod
15,1993,12.97,0.902,0.999942622,0.3244,Gadus macrocephalus,Bering Sea pacific cod
16,1993,13.9,0.902,0.999978139,0.3244,Gadus macrocephalus,Bering Sea pacific cod
17,1993,14.71,0.901,0.999991671,0.3244,Gadus macrocephalus,Bering Sea pacific cod
18,1993,15.36,0.901,0.999996827,0.3244,Gadus macrocephalus,Bering Sea pacific cod
19,1993,16.01,0.901,0.999998791,0.3244,Gadus macrocephalus,Bering Sea pacific cod
20,1993,16.56,0.901,0.999999539,0.3244,Gadus macrocephalus,Bering Sea pacific cod
21,1993,17.63,0.901,0.999999825,0.3244,Gadus macrocephalus,Bering Sea pacific cod
1,1994,0.01,0,0.023107937,0.3244,Gadus macrocephalus,Bering Sea pacific cod
2,1994,0.07,0,0.058458573,0.3244,Gadus macrocephalus,Bering Sea pacific cod
3,1994,0.52,0.014,0.140131283,0.3244,Gadus macrocephalus,Bering Sea pacific cod
4,1994,1.31,0.115,0.299600703,0.3244,Gadus macrocephalus,Bering Sea pacific cod
5,1994,2.2,0.332,0.528917693,0.3244,Gadus macrocephalus,Bering Sea pacific cod
6,1994,3.24,0.619,0.746645346,0.3244,Gadus macrocephalus,Bering Sea pacific cod
7,1994,4.18,0.802,0.885522544,0.3244,Gadus macrocephalus,Bering Sea pacific cod
8,1994,5.13,0.886,0.953059657,0.3244,Gadus macrocephalus,Bering Sea pacific cod
9,1994,6.2,0.911,0.981581329,0.3244,Gadus macrocephalus,Bering Sea pacific cod
10,1994,7.36,0.912,0.992901867,0.3244,Gadus macrocephalus,Bering Sea pacific cod
11,1994,8.55,0.908,0.997283796,0.3244,Gadus macrocephalus,Bering Sea pacific cod
12,1994,9.46,0.906,0.998963429,0.3244,Gadus macrocephalus,Bering Sea pacific cod
13,1994,10.67,0.904,0.99960483,0.3244,Gadus macrocephalus,Bering Sea pacific cod
14,1994,11.7,0.903,0.99984941,0.3244,Gadus macrocephalus,Bering Sea pacific cod
15,1994,12.4,0.903,0.999942622,0.3244,Gadus macrocephalus,Bering Sea pacific cod
16,1994,13.21,0.903,0.999978139,0.3244,Gadus macrocephalus,Bering Sea pacific cod
17,1994,14.03,0.903,0.999991671,0.3244,Gadus macrocephalus,Bering Sea pacific cod
18,1994,14.75,0.902,0.999996827,0.3244,Gadus macrocephalus,Bering Sea pacific cod
19,1994,15.32,0.902,0.999998791,0.3244,Gadus macrocephalus,Bering Sea pacific cod
20,1994,15.88,0.902,0.999999539,0.3244,Gadus macrocephalus,Bering Sea pacific cod
21,1994,16.78,0.902,0.999999825,0.3244,Gadus macrocephalus,Bering Sea pacific cod
1,1995,0,0,0.023107937,0.3244,Gadus macrocephalus,Bering Sea pacific cod
2,1995,0.06,0,0.058458573,0.3244,Gadus macrocephalus,Bering Sea pacific cod
3,1995,0.49,0.015,0.140131283,0.3244,Gadus macrocephalus,Bering Sea pacific cod
4,1995,1.24,0.114,0.299600703,0.3244,Gadus macrocephalus,Bering Sea pacific cod
5,1995,2.22,0.353,0.528917693,0.3244,Gadus macrocephalus,Bering Sea pacific cod
6,1995,3.19,0.613,0.746645346,0.3244,Gadus macrocephalus,Bering Sea pacific cod
7,1995,4.28,0.816,0.885522544,0.3244,Gadus macrocephalus,Bering Sea pacific cod
8,1995,5.28,0.892,0.953059657,0.3244,Gadus macrocephalus,Bering Sea pacific cod
9,1995,6.32,0.911,0.981581329,0.3244,Gadus macrocephalus,Bering Sea pacific cod
10,1995,7.49,0.911,0.992901867,0.3244,Gadus macrocephalus,Bering Sea pacific cod
11,1995,8.7,0.907,0.997283796,0.3244,Gadus macrocephalus,Bering Sea pacific cod
12,1995,9.9,0.904,0.998963429,0.3244,Gadus macrocephalus,Bering Sea pacific cod
13,1995,10.81,0.902,0.99960483,0.3244,Gadus macrocephalus,Bering Sea pacific cod
14,1995,12.01,0.901,0.99984941,0.3244,Gadus macrocephalus,Bering Sea pacific cod
15,1995,13.01,0.901,0.999942622,0.3244,Gadus macrocephalus,Bering Sea pacific cod
16,1995,13.69,0.901,0.999978139,0.3244,Gadus macrocephalus,Bering Sea pacific cod
17,1995,14.48,0.901,0.999991671,0.3244,Gadus macrocephalus,Bering Sea pacific cod
18,1995,15.27,0.901,0.999996827,0.3244,Gadus macrocephalus,Bering Sea pacific cod
19,1995,15.95,0.901,0.999998791,0.3244,Gadus macrocephalus,Bering Sea pacific cod
20,1995,16.48,0.9,0.999999539,0.3244,Gadus macrocephalus,Bering Sea pacific cod
21,1995,17.52,0.9,0.999999825,0.3244,Gadus macrocephalus,Bering Sea pacific cod
1,1996,0.01,0,0.023107937,0.3244,Gadus macrocephalus,Bering Sea pacific cod
2,1996,0.07,0,0.058458573,0.3244,Gadus macrocephalus,Bering Sea pacific cod
3,1996,0.61,0.008,0.140131283,0.3244,Gadus macrocephalus,Bering Sea pacific cod
4,1996,1.38,0.079,0.299600703,0.3244,Gadus macrocephalus,Bering Sea pacific cod
5,1996,2.29,0.285,0.528917693,0.3244,Gadus macrocephalus,Bering Sea pacific cod
6,1996,3.28,0.577,0.746645346,0.3244,Gadus macrocephalus,Bering Sea pacific cod
7,1996,4.19,0.786,0.885522544,0.3244,Gadus macrocephalus,Bering Sea pacific cod
8,1996,5.19,0.898,0.953059657,0.3244,Gadus macrocephalus,Bering Sea pacific cod
9,1996,6.12,0.931,0.981581329,0.3244,Gadus macrocephalus,Bering Sea pacific cod
10,1996,7.06,0.94,0.992901867,0.3244,Gadus macrocephalus,Bering Sea pacific cod
11,1996,8.05,0.941,0.997283796,0.3244,Gadus macrocephalus,Bering Sea pacific cod
12,1996,9.04,0.941,0.998963429,0.3244,Gadus macrocephalus,Bering Sea pacific cod
13,1996,10,0.94,0.99960483,0.3244,Gadus macrocephalus,Bering Sea pacific cod
14,1996,10.72,0.94,0.99984941,0.3244,Gadus macrocephalus,Bering Sea pacific cod
15,1996,11.64,0.94,0.999942622,0.3244,Gadus macrocephalus,Bering Sea pacific cod
16,1996,12.41,0.94,0.999978139,0.3244,Gadus macrocephalus,Bering Sea pacific cod
17,1996,12.92,0.94,0.999991671,0.3244,Gadus macrocephalus,Bering Sea pacific cod
18,1996,13.51,0.94,0.999996827,0.3244,Gadus macrocephalus,Bering Sea pacific cod
19,1996,14.09,0.94,0.999998791,0.3244,Gadus macrocephalus,Bering Sea pacific cod
20,1996,14.59,0.94,0.999999539,0.3244,Gadus macrocephalus,Bering Sea pacific cod
21,1996,15.26,0.94,0.999999825,0.3244,Gadus macrocephalus,Bering Sea pacific cod
1,1997,0.01,0,0.023107937,0.3244,Gadus macrocephalus,Bering Sea pacific cod
2,1997,0.06,0,0.058458573,0.3244,Gadus macrocephalus,Bering Sea pacific cod
3,1997,0.49,0.015,0.140131283,0.3244,Gadus macrocephalus,Bering Sea pacific cod
4,1997,1.22,0.115,0.299600703,0.3244,Gadus macrocephalus,Bering Sea pacific cod
5,1997,2.08,0.338,0.528917693,0.3244,Gadus macrocephalus,Bering Sea pacific cod
6,1997,3.01,0.61,0.746645346,0.3244,Gadus macrocephalus,Bering Sea pacific cod
7,1997,4,0.815,0.885522544,0.3244,Gadus macrocephalus,Bering Sea pacific cod
8,1997,4.94,0.901,0.953059657,0.3244,Gadus macrocephalus,Bering Sea pacific cod
9,1997,6.02,0.929,0.981581329,0.3244,Gadus macrocephalus,Bering Sea pacific cod
10,1997,6.99,0.932,0.992901867,0.3244,Gadus macrocephalus,Bering Sea pacific cod
11,1997,7.96,0.931,0.997283796,0.3244,Gadus macrocephalus,Bering Sea pacific cod
12,1997,8.95,0.929,0.998963429,0.3244,Gadus macrocephalus,Bering Sea pacific cod
13,1997,9.93,0.928,0.99960483,0.3244,Gadus macrocephalus,Bering Sea pacific cod
14,1997,10.87,0.928,0.99984941,0.3244,Gadus macrocephalus,Bering Sea pacific cod
15,1997,11.57,0.927,0.999942622,0.3244,Gadus macrocephalus,Bering Sea pacific cod
16,1997,12.47,0.927,0.999978139,0.3244,Gadus macrocephalus,Bering Sea pacific cod
17,1997,13.21,0.927,0.999991671,0.3244,Gadus macrocephalus,Bering Sea pacific cod
18,1997,13.7,0.927,0.999996827,0.3244,Gadus macrocephalus,Bering Sea pacific cod
19,1997,14.26,0.927,0.999998791,0.3244,Gadus macrocephalus,Bering Sea pacific cod
20,1997,14.81,0.927,0.999999539,0.3244,Gadus macrocephalus,Bering Sea pacific cod
21,1997,15.44,0.927,0.999999825,0.3244,Gadus macrocephalus,Bering Sea pacific cod
1,1998,0,0,0.023107937,0.3244,Gadus macrocephalus,Bering Sea pacific cod
2,1998,0.06,0,0.058458573,0.3244,Gadus macrocephalus,Bering Sea pacific cod
3,1998,0.49,0.007,0.140131283,0.3244,Gadus macrocephalus,Bering Sea pacific cod
4,1998,1.25,0.081,0.299600703,0.3244,Gadus macrocephalus,Bering Sea pacific cod
5,1998,2.13,0.291,0.528917693,0.3244,Gadus macrocephalus,Bering Sea pacific cod
6,1998,3.03,0.565,0.746645346,0.3244,Gadus macrocephalus,Bering Sea pacific cod
7,1998,3.95,0.783,0.885522544,0.3244,Gadus macrocephalus,Bering Sea pacific cod
8,1998,4.93,0.891,0.953059657,0.3244,Gadus macrocephalus,Bering Sea pacific cod
9,1998,5.88,0.92,0.981581329,0.3244,Gadus macrocephalus,Bering Sea pacific cod
10,1998,6.96,0.925,0.992901867,0.3244,Gadus macrocephalus,Bering Sea pacific cod
11,1998,7.91,0.924,0.997283796,0.3244,Gadus macrocephalus,Bering Sea pacific cod
12,1998,8.82,0.923,0.998963429,0.3244,Gadus macrocephalus,Bering Sea pacific cod
13,1998,9.74,0.922,0.99960483,0.3244,Gadus macrocephalus,Bering Sea pacific cod
14,1998,10.64,0.921,0.99984941,0.3244,Gadus macrocephalus,Bering Sea pacific cod
15,1998,11.49,0.921,0.999942622,0.3244,Gadus macrocephalus,Bering Sea pacific cod
16,1998,12.12,0.921,0.999978139,0.3244,Gadus macrocephalus,Bering Sea pacific cod
17,1998,12.92,0.92,0.999991671,0.3244,Gadus macrocephalus,Bering Sea pacific cod
18,1998,13.57,0.92,0.999996827,0.3244,Gadus macrocephalus,Bering Sea pacific cod
19,1998,14,0.92,0.999998791,0.3244,Gadus macrocephalus,Bering Sea pacific cod
20,1998,14.48,0.92,0.999999539,0.3244,Gadus macrocephalus,Bering Sea pacific cod
21,1998,15.26,0.92,0.999999825,0.3244,Gadus macrocephalus,Bering Sea pacific cod
1,1999,0,0,0.023107937,0.3244,Gadus macrocephalus,Bering Sea pacific cod
2,1999,0.05,0,0.058458573,0.3244,Gadus macrocephalus,Bering Sea pacific cod
3,1999,0.49,0.007,0.140131283,0.3244,Gadus macrocephalus,Bering Sea pacific cod
4,1999,1.26,0.078,0.299600703,0.3244,Gadus macrocephalus,Bering Sea pacific cod
5,1999,2.2,0.295,0.528917693,0.3244,Gadus macrocephalus,Bering Sea pacific cod
6,1999,3.17,0.575,0.746645346,0.3244,Gadus macrocephalus,Bering Sea pacific cod
7,1999,4.12,0.785,0.885522544,0.3244,Gadus macrocephalus,Bering Sea pacific cod
8,1999,5.1,0.887,0.953059657,0.3244,Gadus macrocephalus,Bering Sea pacific cod
9,1999,6.19,0.917,0.981581329,0.3244,Gadus macrocephalus,Bering Sea pacific cod
10,1999,7.22,0.921,0.992901867,0.3244,Gadus macrocephalus,Bering Sea pacific cod
11,1999,8.35,0.919,0.997283796,0.3244,Gadus macrocephalus,Bering Sea pacific cod
12,1999,9.31,0.917,0.998963429,0.3244,Gadus macrocephalus,Bering Sea pacific cod
13,1999,10.21,0.916,0.99960483,0.3244,Gadus macrocephalus,Bering Sea pacific cod
14,1999,11.12,0.915,0.99984941,0.3244,Gadus macrocephalus,Bering Sea pacific cod
15,1999,12,0.915,0.999942622,0.3244,Gadus macrocephalus,Bering Sea pacific cod
16,1999,12.82,0.915,0.999978139,0.3244,Gadus macrocephalus,Bering Sea pacific cod
17,1999,13.43,0.915,0.999991671,0.3244,Gadus macrocephalus,Bering Sea pacific cod
18,1999,14.19,0.915,0.999996827,0.3244,Gadus macrocephalus,Bering Sea pacific cod
19,1999,14.8,0.915,0.999998791,0.3244,Gadus macrocephalus,Bering Sea pacific cod
20,1999,15.2,0.915,0.999999539,0.3244,Gadus macrocephalus,Bering Sea pacific cod
21,1999,16.06,0.915,0.999999825,0.3244,Gadus macrocephalus,Bering Sea pacific cod
1,2000,0.01,0,0.023107937,0.3244,Gadus macrocephalus,Bering Sea pacific cod
2,2000,0.04,0,0.058458573,0.3244,Gadus macrocephalus,Bering Sea pacific cod
3,2000,0.64,0.01,0.140131283,0.3244,Gadus macrocephalus,Bering Sea pacific cod
4,2000,1.3,0.065,0.299600703,0.3244,Gadus macrocephalus,Bering Sea pacific cod
5,2000,2.29,0.267,0.528917693,0.3244,Gadus macrocephalus,Bering Sea pacific cod
6,2000,3.34,0.559,0.746645346,0.3244,Gadus macrocephalus,Bering Sea pacific cod
7,2000,4.36,0.78,0.885522544,0.3244,Gadus macrocephalus,Bering Sea pacific cod
8,2000,5.38,0.884,0.953059657,0.3244,Gadus macrocephalus,Bering Sea pacific cod
9,2000,6.47,0.915,0.981581329,0.3244,Gadus macrocephalus,Bering Sea pacific cod
10,2000,7.66,0.92,0.992901867,0.3244,Gadus macrocephalus,Bering Sea pacific cod
11,2000,8.74,0.919,0.997283796,0.3244,Gadus macrocephalus,Bering Sea pacific cod
12,2000,9.88,0.917,0.998963429,0.3244,Gadus macrocephalus,Bering Sea pacific cod
13,2000,10.84,0.916,0.99960483,0.3244,Gadus macrocephalus,Bering Sea pacific cod
14,2000,11.73,0.916,0.99984941,0.3244,Gadus macrocephalus,Bering Sea pacific cod
15,2000,12.62,0.915,0.999942622,0.3244,Gadus macrocephalus,Bering Sea pacific cod
16,2000,13.47,0.915,0.999978139,0.3244,Gadus macrocephalus,Bering Sea pacific cod
17,2000,14.27,0.915,0.999991671,0.3244,Gadus macrocephalus,Bering Sea pacific cod
18,2000,14.84,0.915,0.999996827,0.3244,Gadus macrocephalus,Bering Sea pacific cod
19,2000,15.57,0.915,0.999998791,0.3244,Gadus macrocephalus,Bering Sea pacific cod
20,2000,16.15,0.915,0.999999539,0.3244,Gadus macrocephalus,Bering Sea pacific cod
21,2000,17.21,0.915,0.999999825,0.3244,Gadus macrocephalus,Bering Sea pacific cod
1,2001,0.01,0,0.023107937,0.3244,Gadus macrocephalus,Bering Sea pacific cod
2,2001,0.09,0,0.058458573,0.3244,Gadus macrocephalus,Bering Sea pacific cod
3,2001,0.61,0.008,0.140131283,0.3244,Gadus macrocephalus,Bering Sea pacific cod
4,2001,1.44,0.091,0.299600703,0.3244,Gadus macrocephalus,Bering Sea pacific cod
5,2001,2.2,0.256,0.528917693,0.3244,Gadus macrocephalus,Bering Sea pacific cod
6,2001,3.2,0.545,0.746645346,0.3244,Gadus macrocephalus,Bering Sea pacific cod
7,2001,4.2,0.775,0.885522544,0.3244,Gadus macrocephalus,Bering Sea pacific cod
8,2001,5.18,0.871,0.953059657,0.3244,Gadus macrocephalus,Bering Sea pacific cod
